SDGi,Life Exectancy,HDI,Per Capita GDP,Population (millions),Built up land,Cropland,Grazing land,Forest land,Fishing ground,Built up land.1,Total biocapacity ,Ecological (Deficit) or Reserve,,,,,Total Ecological Footprint (Consumption),,,,,Average total ecological Footprint
68.7,70,0.73,12786,106.2,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,0.313084392,-1.139943677,,,,,1.5,,,,,
69.6,71,0.68,9062,6.6,0.1,0.2,0.1,0.087975489,0.112063344,0.133305571,0.605743426,-1.346898576,,,,,2,,,,,
80.6,77,0.89,38353,1.3,0.1,1.4,0.1,3.832438381,4.301283389,0.134033174,9.811607127,1.69411469,,,,,8.1,,,,,
54.6,57,0.6,8917,1.2,0.5,0.3,0.5,0.045744916,0.004912661,0.541117412,1.386831466,-1.512901071,,,,,2.9,,,,,
58,65,0.5,2918,120.8,0,0.3,0.1,0.046856067,0.002296988,0.033687634,0.449047566,-0.39188073,,,,,0.8,,,,,
72.9,67,0.73,11647,0.9,0.1,0.5,0.1,1.346372069,0.622259519,0.14061498,2.744014775,-0.069008375,,,,,2.8,,,,,
86.5,82,0.94,49686,5.6,0.1,0.8,0.1,8.390159207,2.307201274,0.126549669,11.75105354,6.387773814,,,,,5.4,,,,,
81.2,82,0.9,47995,65.6,0.2,1,0.2,0.973828654,0.111034045,0.150927203,2.458371838,-1.854753308,,,,,4.3,,,,,
62.8,66,0.71,15287,2.3,0,0.3,0.9,13.60587343,2.02884706,0.047333569,16.93358961,14.86912834,,,,,2.1,,,,,
60.2,62,0.5,2266,2.6,0,0.1,0,0.067683378,0.2140504,0.008195625,0.453522263,-0.400349892,,,,,0.9,,,,,
73.4,72,0.8,15926,4,0.1,0.2,0.4,0.684855551,0.053067582,0.059808108,1.381262506,-1.274215722,,,,,2.7,,,,,
82.2,81,0.94,54192,83.9,0.2,0.6,0.1,0.69945463,0.074531266,0.178085032,1.614535735,-2.88414354,,,,,4.5,,,,,
63.4,64,0.63,5785,32.4,0.1,0.4,0.2,0.184274182,0.046136535,0.115712303,0.923303742,-0.831974234,,,,,1.8,,,,,
76.8,80,0.89,30488,10.3,0.1,1,0.1,0.232627086,0.193254918,0.070193199,1.604464539,-2.175733806,,,,,3.8,,,,,
61,69,0.63,8489,18.6,0.2,0.3,0.1,0.273859873,0.039997543,0.223395459,0.963671112,-0.930130593,,,,,1.9,,,,,
51.3,59,0.47,2595,13.9,0.1,0.3,0.6,0.496427206,0.255151168,0.053672517,1.718858332,0.192929679,,,,,1.5,,,,,
63.9,66,0.71,32768,0.8,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,70.50741296,67.19211874,,,,,3.3,,,,,
51.9,63,0.54,2731,11.7,0,0.1,0,0.025123594,0.01068696,0.026237388,0.235699613,-0.355312615,,,,,0.6,,,,,
63.1,70,0.62,5773,10.2,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,1.651119574,0.304040667,,,,,1.3,,,,,
79,74,0.85,35069,9.6,0.1,1.7,0.1,0.661675174,0.006552052,0.121567415,2.570671975,-1.217913853,,,,,3.8,,,,,
60.3,67,0.63,7159,27.92111111,0.1,0.2,0,0.019611683,0.026040105,0.050541898,0.342227652,-0.695400353,,,,,1,,,,,
69.2,68,0.71,12449,279.1,0.1,0.5,0.1,0.260264262,0.338990503,0.083199367,1.227370667,-0.451258577,,,,,1.7,,,,,
68.6,74,0.77,15702,86,0.1,0.4,0.1,0.053259352,0.169577822,0.07197257,0.751314683,-2.497334817,,,,,3.2,,,,,
62.3,70,0.69,10399,42.2,0,0.2,0,0.034153036,0.001787591,0.033445512,0.314221898,-1.412524298,,,,,1.7,,,,,
80.7,82,0.95,106717,5,0.1,0.4,0.7,0.468889103,1.379291445,0.103161886,3.109222875,-1.396207197,,,,,4.5,,,,,
